workload,algo,obj,num_points,purity,qps,sum_us,mig_us,det_us,first_algo,final_algo,change_count,change_log
KDD99_F,Benne,2,1450000,0.73441,278195,5212163,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,1650000,0.673986,306990,5374761,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,1850000,0.634597,332014,5572052,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,2050000,0.670246,360127,5692428,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,2250000,0.699558,387465,5806980,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,2450000,0.724084,411167,5958645,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,2650000,0.744908,401145,6606092,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,2850000,0.762809,455479,6257151,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,3050000,0.619527,416806,7317555,74,743987,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,2,3250000,0.642941,435168,7468374,62,740836,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,2,3450000,0.647955,416200,8289288,110,863189,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,2,3650000,0.914561,386676,9439416,361,1397352,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,2,3850000,0.907118,481316,7998907,58,737872,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,2,4050000,0.905116,504552,8026927,65,729221,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,2,4250000,0.909581,498318,8528683,56,810805,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,2,4450000,0.913645,532858,8351194,63,725267,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,2,4650000,0.978427,369777,12575162,61,724597,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,2,4850000,0.978595,269495,17996632,55,723982,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,2,4898431,0.978756,252546,19396208,56,715332,1412,312,1,1412@0;312@3000000;
KDD99_F,Benne,3,50000,0.99992,71176.1,702483,6,13709,2140,40,1,2140@0;40@10000;
KDD99_F,Benne,3,250000,0.850784,56614.6,4415819,113,679413,2140,40,4,2140@0;40@10000;140@90008;2120@100009;40@120011;
KDD99_F,Benne,3,450000,0.843709,47421.9,9489288,484,1618918,2140,2120,6,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;
KDD99_F,Benne,3,650000,0.805872,48364.7,13439545,579,5002287,2140,140,11,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;
KDD99_F,Benne,3,850000,0.609491,41624.3,20420753,1024,9205229,2140,40,12,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;
KDD99_F,Benne,3,1050000,0.568783,40132.2,26163528,988,13559609,2140,40,16,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;
KDD99_F,Benne,3,1250000,0.511863,35887.7,34830913,1363,21097889,2140,2120,20,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;
KDD99_F,Benne,3,1450000,0.483882,31693.9,45750151,1311,29419598,2140,40,25,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;
KDD99_F,Benne,3,1650000,0.431677,29781.7,55403097,1193,39486612,2140,2120,27,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;
KDD99_F,Benne,3,1850000,0.385009,28014.4,66037367,1367,49971821,2140,2120,27,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;
KDD99_F,Benne,3,2050000,0.433931,26614.6,77025348,1293,60598837,2140,2120,27,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;
KDD99_F,Benne,3,2250000,0.484248,26036.9,86415933,1170,69871986,2140,2120,27,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;
KDD99_F,Benne,3,2450000,0.52635,24921.4,98309106,1127,81620716,2140,2120,27,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;
KDD99_F,Benne,3,2650000,0.562097,24180.4,109592962,1129,91697148,2140,2120,27,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;
KDD99_F,Benne,3,2850000,0.592827,23992.2,118788703,1325,101436215,2140,2120,27,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;
KDD99_F,Benne,3,3050000,0.619527,23217,131369424,1183,112799782,2140,2120,27,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;
KDD99_F,Benne,3,3250000,0.642941,23244.5,139818233,1096,121463431,2140,2120,27,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;
KDD99_F,Benne,3,3450000,0.651092,22649,152324738,1518,132622140,2140,2020,30,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;2020@3400339;40@3410340;2020@3440343;
KDD99_F,Benne,3,3650000,0.615452,21717.6,168066763,1700,147779806,2140,2120,35,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;2020@3400339;40@3410340;2020@3440343;40@3450344;2020@3460345;2120@3470346;2020@3590358;2120@3600359;
KDD99_F,Benne,3,3850000,0.589752,21050.5,182893574,1742,163780116,2140,2120,37,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;2020@3400339;40@3410340;2020@3440343;40@3450344;2020@3460345;2120@3470346;2020@3590358;2120@3600359;2020@3670366;2120@3700369;
KDD99_F,Benne,3,4050000,0.583491,19862.1,203906392,1944,182991259,2140,2120,40,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;2020@3400339;40@3410340;2020@3440343;40@3450344;2020@3460345;2120@3470346;2020@3590358;2120@3600359;2020@3670366;2120@3700369;2020@3930392;40@3940393;2120@3950394;
KDD99_F,Benne,3,4250000,0.603091,19270.3,220546879,1743,201041349,2140,2120,42,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;2020@3400339;40@3410340;2020@3440343;40@3450344;2020@3460345;2120@3470346;2020@3590358;2120@3600359;2020@3670366;2120@3700369;2020@3930392;40@3940393;2120@3950394;140@4130412;2120@4140413;
KDD99_F,Benne,3,4450000,0.62093,18614.3,239063981,1776,218459850,2140,2120,42,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;2020@3400339;40@3410340;2020@3440343;40@3450344;2020@3460345;2120@3470346;2020@3590358;2120@3600359;2020@3670366;2120@3700369;2020@3930392;40@3940393;2120@3950394;140@4130412;2120@4140413;
KDD99_F,Benne,3,4650000,0.596109,17415.8,266998950,2555,244255412,2140,2120,49,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;2020@3400339;40@3410340;2020@3440343;40@3450344;2020@3460345;2120@3470346;2020@3590358;2120@3600359;2020@3670366;2120@3700369;2020@3930392;40@3940393;2120@3950394;140@4130412;2120@4140413;2020@4460445;40@4490448;2020@4500449;40@4550454;2120@4570456;2020@4580457;2120@4590458;
KDD99_F,Benne,3,4850000,0.575281,16361,296436794,2917,274879205,2140,2020,54,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;2020@3400339;40@3410340;2020@3440343;40@3450344;2020@3460345;2120@3470346;2020@3590358;2120@3600359;2020@3670366;2120@3700369;2020@3930392;40@3940393;2120@3950394;140@4130412;2120@4140413;2020@4460445;40@4490448;2020@4500449;40@4550454;2120@4570456;2020@4580457;2120@4590458;2020@4770476;40@4790478;2020@4820481;40@4830482;2020@4840483;
KDD99_F,Benne,3,4898431,0.579445,15972.3,306682575,3395,284425648,2140,40,57,2140@0;40@10000;140@90008;2120@100009;40@120011;2020@430042;2120@440043;2020@470046;2120@480047;2020@500049;40@510050;140@530052;40@730072;2020@910090;2120@920091;2020@1020101;40@1030102;140@1070106;2120@1090108;140@1100109;2120@1110110;2020@1270126;2120@1280127;40@1350134;140@1430142;40@1440143;2020@1470146;2120@1480147;2020@3400339;40@3410340;2020@3440343;40@3450344;2020@3460345;2120@3470346;2020@3590358;2120@3600359;2020@3670366;2120@3700369;2020@3930392;40@3940393;2120@3950394;140@4130412;2120@4140413;2020@4460445;40@4490448;2020@4500449;40@4550454;2120@4570456;2020@4580457;2120@4590458;2020@4770476;40@4790478;2020@4820481;40@4830482;2020@4840483;2120@4850484;2020@4870486;40@4880487;
