workload,algo,num_points,purity,qps
KDD99_F,Birch,2890056,0.899487,295345
KDD99_F,Birch,2939040,0.901162,303207
KDD99_F,Birch,2988024,0.902782,311126
KDD99_F,Birch,3037008,0.90435,311959
KDD99_F,Birch,3085992,0.905869,319187
KDD99_F,Birch,3134976,0.907339,318513
KDD99_F,Birch,3183960,0.908765,322948
KDD99_F,Birch,3232944,0.910147,326158
KDD99_F,Birch,3281928,0.911488,330282
KDD99_F,Birch,3330912,0.91279,330211
KDD99_F,Birch,3379896,0.914054,329675
KDD99_F,Birch,3428880,0.917936,319571
KDD99_F,Birch,3477864,0.912496,287623
KDD99_F,Birch,3526848,0.942975,320893
KDD99_F,Birch,3575832,0.943777,320897
KDD99_F,Birch,3624816,0.944551,324196
KDD99_F,Birch,3673800,0.957327,293161
KDD99_F,Birch,3722784,0.957259,325363
KDD99_F,Birch,3771768,0.960966,327845
KDD99_F,Birch,3820752,0.963302,292356
KDD99_F,Birch,3869736,0.965465,328834
KDD99_F,Birch,3918720,0.969157,321778
KDD99_F,Birch,3967704,0.94672,323735
KDD99_F,Birch,4016688,0.947331,314782
KDD99_F,Birch,4065672,0.947966,325160
KDD99_F,Birch,4114656,0.948585,322101
KDD99_F,Birch,4163640,0.949187,327490
KDD99_F,Birch,4212624,0.949776,333334
KDD99_F,Birch,4261608,0.950352,341816
KDD99_F,Birch,4310592,0.950915,290937
KDD99_F,Birch,4359576,0.951466,341968
KDD99_F,Birch,4408560,0.952005,328822
KDD99_F,Birch,4457544,0.952532,337161
KDD99_F,Birch,4506528,0.946335,333324
KDD99_F,Birch,4555512,0.941864,313152
KDD99_F,Birch,4604496,0.942642,334362
KDD99_F,Birch,4653480,0.943329,310409
KDD99_F,Birch,4702464,0.944029,336936
KDD99_F,Birch,4751448,0.944973,328136
KDD99_F,Birch,4800432,0.942263,307536
KDD99_F,Birch,4849416,0.94229,324334
KDD99_F,Birch,4898431,0.941589,319541
KDD99_F,StreamKMeans,48984,0.999918,11366.5
KDD99_F,StreamKMeans,97968,0.963131,13000.8
KDD99_F,StreamKMeans,146952,0.969698,13975.4
KDD99_F,StreamKMeans,195936,0.961171,13198.9
KDD99_F,StreamKMeans,244920,0.959673,12758.5
KDD99_F,StreamKMeans,293904,0.961287,12420.4
KDD99_F,StreamKMeans,342888,0.948665,12233.3
KDD99_F,StreamKMeans,391872,0.902445,12072
KDD99_F,StreamKMeans,440856,0.862731,12499.6
KDD99_F,StreamKMeans,489840,0.776456,13640.2
KDD99_F,StreamKMeans,538824,0.732497,13653.6
KDD99_F,StreamKMeans,587808,0.671352,13446.4
KDD99_F,StreamKMeans,636792,0.619709,13439.3
KDD99_F,StreamKMeans,685776,0.575444,13310.9
KDD99_F,StreamKMeans,734760,0.796856,13234.7
KDD99_F,StreamKMeans,783744,0.582172,13129.4
KDD99_F,StreamKMeans,832728,0.604911,13009.1
KDD99_F,StreamKMeans,881712,0.623529,12893.5
KDD99_F,StreamKMeans,930696,0.605705,13185.2
KDD99_F,StreamKMeans,979680,0.575419,13753.2
KDD99_F,StreamKMeans,1028664,0.561119,13907.5
KDD99_F,StreamKMeans,1077648,0.564685,13984.8
KDD99_F,StreamKMeans,1126632,0.545031,13828.8
KDD99_F,StreamKMeans,1175616,0.517627,13815.1
KDD99_F,StreamKMeans,1224600,0.49711,13784
KDD99_F,StreamKMeans,1273584,0.602219,13782.6
KDD99_F,StreamKMeans,1322568,0.460224,14165.4
KDD99_F,StreamKMeans,1371552,0.787193,14263.8
KDD99_F,StreamKMeans,1420536,0.475102,14052.5
KDD99_F,StreamKMeans,1469520,0.485522,14017.2
